category,Forecasted Power Output (kW),Actual Power Output (kW)
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,1347.4,572.3
Fri Nov 22 2024,2619.1,2135.5
Fri Nov 22 2024,4217.8,5175.3
Fri Nov 22 2024,4057,5677.2
Fri Nov 22 2024,3895.2,4479
Fri Nov 22 2024,3506.3,5642.1
Fri Nov 22 2024,2312.6,1738
Fri Nov 22 2024,1308.1,1754.4
Fri Nov 22 2024,576.9,987
Fri Nov 22 2024,0,411.7
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Fri Nov 22 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,1551.6,471.3
Sat Nov 23 2024,3081.4,3470.7
Sat Nov 23 2024,5371,4579.2
Sat Nov 23 2024,6395.5,6812.6
Sat Nov 23 2024,5987.6,2581.8
Sat Nov 23 2024,5377.4,7703.5
Sat Nov 23 2024,5437.2,6203.7
Sat Nov 23 2024,2972,2691.8
Sat Nov 23 2024,1241.5,2298.8
Sat Nov 23 2024,101.7,266.8
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sat Nov 23 2024,0,0
Sun Nov 24 2024,0,0