category,Forecasted Power Output (kW),Speed (m/s)
Sun Nov 24 2024,1202.5,7.8
Sun Nov 24 2024,3130.8,11.7
Sun Nov 24 2024,3472.6,13.1
Sun Nov 24 2024,3356.8,12.6
Sun Nov 24 2024,3472.6,12.8
Sun Nov 24 2024,3130.8,11.7
Sun Nov 24 2024,609,6.5
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,3
Sun Nov 24 2024,0.4,3.1
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,2.9
Sun Nov 24 2024,0.4,3
Sun Nov 24 2024,0.4,3
Sun Nov 24 2024,0.4,3.2
Sun Nov 24 2024,5.7,3.5
Sun Nov 24 2024,91.3,4.6
Sun Nov 24 2024,303.3,5.6
Mon Nov 25 2024,29.1,4
Mon Nov 25 2024,181.5,5.1
Mon Nov 25 2024,181.5,4.9
Mon Nov 25 2024,181.5,4.8
Mon Nov 25 2024,29.1,4.2
Mon Nov 25 2024,0.4,3
Mon Nov 25 2024,0.4,3.1
Mon Nov 25 2024,29.1,3.9
Mon Nov 25 2024,91.3,4.6
Mon Nov 25 2024,181.5,5
Mon Nov 25 2024,303.3,5.7
Mon Nov 25 2024,455.1,6
Mon Nov 25 2024,455.1,6.2
Mon Nov 25 2024,181.5,5.2
Mon Nov 25 2024,29.1,4.2
Mon Nov 25 2024,29.1,3.9
Mon Nov 25 2024,91.3,4.6
Mon Nov 25 2024,455.1,5.8
Mon Nov 25 2024,181.5,4.8
Mon Nov 25 2024,29.1,4
Mon Nov 25 2024,181.5,4.8
Mon Nov 25 2024,455.1,5.8
Mon Nov 25 2024,181.5,4.8
Mon Nov 25 2024,29.1,3.9
Tue Nov 26 2024,0.4,3.1